# https://www.unicode.org/Public/16.0.0/ucd/emoji/emoji-data.txt
# https://translated.turbopages.org/proxy_u/en-ru.ru.99294af1-6746a008-8ed92243-74722d776562/https/www.unicode.org/Public/16.0.0/ucd/emoji/emoji-data.txt

# emoji-data.txt
# Дата: 2024-05-01, 21:25:24 GMT
# © 2024 Unicode®, Inc.
# Unicode и логотип Unicode являются зарегистрированными товарными знаками Unicode, Inc. в США и других странах.
# Условия использования и лицензии см. в разделе https://www.unicode.org/terms_of_use.html
#
# Данные эмодзи для UTS #51
# Используется с Emoji версии 16.0 и последующими незначительными изменениями (если таковые имеются)
#
# Документацию и способы использования см. в разделе https://www.unicode.org/reports/tr51
#
# Формат: 
# <кодовые точки> ; <свойство> # <комментарии> 
# Примечание: нет гарантии относительно структуры пробелов или комментариев
#
# Символы и последовательности перечислены в порядке кодовых обозначений. Пользователям следует показывать более естественный порядок.
# Смотрите порядок сортировки смайликов в CLDR.


# ================================================

# Все пропущенные кодовые точки имеют эмодзи = Нет

# 0023; Эмодзи # E0.0 [1] (#️) хэш-знак
# 002A ; Эмодзи # E0.0 [1] (*️) звездочка
# 0030..0039 ; Эмодзи # E0.0 [10] (0️..9️) цифра ноль .. цифра девять
1F637..1F640 ; Расширенный фотограф # E0.6 [10] (😷..🙀) лицо в медицинской маске .. усталый кот
1F641..1F644 ; Расширенный фотограф # E1.0 [4] (🙁..🙄) слегка нахмуренное лицо .. лицо с закатившимися глазами
1F645..1F64F ; Расширенный фотограф # E0.6 [11] (🙅..🙏) человек, жестикулирующий НЕТ..сложенные руки
1F680 ; Расширенная фотограф# E0.6 [1] (🚀) ракета
1F681..1F682 ; Расширенный фотограф # E1.0 [2] (🚁..🚂) вертолет..локомотив
1F683..1F685 ; Расширенный фотограф # E0.6 [3] (🚃..🚅) железнодорожный вагон .. скоростной поезд
1F686 ; Расширенный графический# E1.0 [1] (🚆) поезд
1F687 ; Расширенный графический# E0.6 [1] (🚇) метро
1F688 ; Расширенный графический номер E1.0 [1] (🚈) легкорельсовый транспорт
1F689 ; Расширенная фотограф-станция # E0.6 [1] (🚉)
1F68A..1F68B ; Расширенный графический # E1.0 [2] (🚊..🚋) трамвай .. трамвайный вагон
1F68C ; Расширенная графическая шина# E0.6 [1] (🚌)
1F68D ; Расширенный графический # E0.7 [1] (🚍) встречный автобус
1F68E ; Расширенный графический номер E1.0 [1] (🚎) троллейбус
1F68F ; Extended_Pictographic# E0.6 [1] (🚏) автобусная остановка
1F690 ; Расширенный графический номер E1.0 [1] (🚐) микроавтобус
1F691..1F693 ; Расширенный фотограф # E0.6 [3] (🚑..🚓) скорая помощь ..полицейская машина
1F694 ; Расширенный фотограф # E0.7 [1] (🚔) приближающаяся полицейская машина
1F695 ; Расширенный графический# E0.6 [1] (🚕) такси
1F696 ; Расширенный графический номер E1.0 [1] (🚖) встречное такси
1F697 ; Расширенный графический номер E0.6 [1] (🚗) автомобильный
1F698 ; Расширенный фотограф # E0.7 [1] (🚘) встречный автомобиль
1F699..1F69A ; Расширенный графический номер E0.6 [2] (🚙..🚚) внедорожник..грузовик для доставки грузов
1F69B..1F6A1 ; Расширенный фотограф # E1.0 [7] (🚛..🚡) сочлененный грузовой автомобиль..канатная дорога
1F6A2 ; Расширенный графический# E0.6 [1] (🚢) корабль
1F6A3 ; Расширенный графический номер E1.0 [1] (🚣) гребная лодка для одного человека
1F6A4..1F6A5 ; Расширенный графический # E0.6 [2] (🚤..🚥) скоростной катер .. горизонтальный светофор
1F6A6 ; Расширенный графический # E1.0 [1] (🚦) вертикальный светофор
1F6A7..1F6AD ; расширенный фотограф # E0.6 [7] (🚧..🚭) construction..no курение
1F6AE..1F6B1 ; Расширенный графический # E1.0 [4] (🚮..🚱) знак "мусор в мусорном ведре" .. вода не пригодна для питья
1F6B2 ; Расширенный графический# E0.6 [1] (🚲) велосипед
1F6B3..1F6B5 ; Расширенный графический # E1.0 [3] (🚳..🚵) велосипедов нет ..человек катается на горных велосипедах
1F6B6 ; Расширенный фотограф # E0.6 [1] (🚶) идущий человек
1F6B7..1F6B8 ; Расширенный фотограф # E1.0 [2] (🚷..🚸) пешеходов нет .. дети переходят дорогу
1F6B9..1F6BE ; Расширенный фотограф# E0.6 [6] (🚹..🚾) мужской туалет..ватерклозет
1F6BF ; Расширенный графический# E1.0 [1] (🚿) душ
1F6C0 ; Расширенный фотограф # E0.6 [1] (🛀) человек, принимающий ванну
1F6C1..1F6C5 ; Расширенный фотограф # E1.0 [5] (🛁..🛅) ванна .. оставленный багаж
1F6C6..1F6CA ; Расширенный графический # E0.0 [5] (🛆..🛊) ТРЕУГОЛЬНИК СО СКРУГЛЕННЫМИ УГЛАМИ.. СИМВОЛ ДЕВУШКИ
1F6CB ; Расширенный фотограф # E0.7 [1] (🛋️) кушетка и лампа
1F6CC ; Расширенный фотограф # E1.0 [1] (🛌) человек в постели
1F6CD..1F6CF ; Расширенный графический # E0.7 [3] (🛍️..🛏️) сумки для покупок.. кровать
1F6D0 ; Расширенный фотограф # E1.0 [1] (🛐) место поклонения
1F6D1..1F6D2 ; Расширенный графический # E3.0 [2] (🛑..🛒) знак остановки .. корзина
1F6D3..1F6D4 ; Расширенный графический # E0.0 [2] (🛓..🛔) СТУПА..ПАГОДА
1F6D5 ; Расширенный фотограф # E12.0 [1] (🛕) индуистский храм
1F6D6..1F6D7 ; Расширенный фотограф # E13.0 [2] (🛖..🛗) хижина .. лифт
1F6D8..1F6DB ; Extended_Pictographic# E0.0 [4] (🛘..🛛) < зарезервировано-1F6D8>..<зарезервировано-1F6DB>
1F6DC ; расширенная_пиктографическая # E15.0 [1] (🛜) беспроводная связь
1F6DD..1F6DF ; Расширенный фотограф # E14.0 [3] (🛝..🛟) горка для детской площадки .. кольцевой буй
1F6E0..1F6E5 ; Расширенный графический # E0.7 [6] (🛠️..🛥️) молоток и гаечный ключ .. моторная лодка
1F6E6 ..1F6E8 ; Расширенный фотограф # E0.0 [3] (🛦..🛨) ВОЕННЫЙ САМОЛЕТ, НАПРАВЛЕННЫЙ ВВЕРХ .. МАЛЕНЬКИЙ САМОЛЕТ, НАПРАВЛЕННЫЙ ВВЕРХ 
1F6E9 ; Расширенный фотограф# E0.7 [1] (🛩️) маленький самолет
1F6EA ; Расширенный фотограф # E0.0 [1] (🛪) САМОЛЕТ, НАПРАВЛЕННЫЙ На СЕВЕРО-ВОСТОК
1F6EB..1F6EC ; Расширенный графический # E1.0 [2] (🛫..🛬) вылет самолета .. прибытие самолета
1F6ED..1F6EF ; Расширенный графический# E0.0 [3] (🛭..🛯) < зарезервировано-1F6ED>..<зарезервировано-1F6EF>
1F6F0 ; расширенный_пиктографический# E0.7 [1] (🛰️) спутник
1F6F1..1F6F2 ; Расширенный графический # E0.0 [2] (🛱..🛲) ПРИБЛИЖАЮЩАЯСЯ ПОЖАРНАЯ МАШИНА ..ТЕПЛОВОЗ
1F6F3 ; Расширенный фотограф# E0.7 [1] (🛳️) пассажирское судно
1F6F4..1F6F6 ; Расширенный фотограф # E3.0 [3] (🛴..🛶) самокат .. каноэ
1F6F7..1F6F8 ; Расширенный фотограф # E5.0 [2] (🛷..🛸) салазки..летающая тарелка
1F6F9 ; Расширенный графический# E11.0 [1] (🛹) скейтборд
1F6FA ; Расширенный графический номер E12.0 [1] (🛺) авторикша
1F6FB..1F6FC ; Расширенный графический # E13.0 [2] (🛻..🛼) пикап .. роликовые коньки
1F6FD..1F6FF ; Расширенный графический# E0.0 [3] (🛽..🛿) < зарезервировано-1F6FD>..<зарезервировано-1F6FF>
1F774..1F77F ; Расширенный графический # E0.0 [12] (🝴..🝿) БОЛЬШАЯ УДАЧА..ОРКУС
1F7D5..1F7DF ; Расширенный графический # E0.0 [11] (🟕..🟟) ОБВЕДЕННЫЙ ТРЕУГОЛЬНИК..<зарезервировано-1F7DF>
1F7E0..1F7EB ; Расширенный графический # E12.0 [12] (🟠..🟫) оранжевый круг .. коричневый квадрат
1F7EC..1F7EF ; Расширенный графический# E0.0 [4] (🟬..🟯) < зарезервировано-1F7EC>..<зарезервировано-1F7EF>
1F7F0 ; Extended_Pictographic# E14.0 [1] (🟰) тяжелый знак равенства
1F7F1..1F7FF ; Расширенный графический# E0.0 [15] (🟱..🟿) < зарезервировано-1F7F1>..<зарезервировано-1F7FF>
1F80C..1F80F ; Расширенный графический# E0.0 [4] (🠌..🠏) < зарезервировано-1F80C>..<зарезервировано-1F80F>
1F848..1F84F ; Расширенный графический# E0.0 [8] (🡈..🡏) < зарезервировано-1F848>..<зарезервировано-1F84F>
1F85A..1F85F ; Расширенный графический# E0.0 [6] (🡚..🡟) < зарезервировано-1F85A>..<зарезервировано-1F85F>
1F888..1F88F ; Расширенный графический# E0.0 [8] (🢈..🢏) < зарезервировано-1F888>..<зарезервировано-1F88F>
1F8AE..1F8FF ; Расширенный графический# E0.0 [82] (🢮..🣿) < зарезервирован-1F8AE>..<зарезервирован-1F8FF>
1F90C ; Расширенный фотограф# E13.0 [1] (🤌) прищемленные пальцы
1F90D..1F90F ; Расширенный фотограф# E12.0 [3] (🤍..🤏) белое сердце.. сжимающая рука
1F910..1F918 ; Расширенный фотограф # E1.0 [9] (🤐..🤘) лицо с ртом-молнией .. знак рогов
1F919..1F91E ; Расширенный фотограф# E3.0 [6] (🤙..🤞) зови меня рука..скрещенные пальцы
1F91F ; Расширенный графический# E5.0 [1] (🤟) жест любви к тебе
1F920..1F927 ; Расширенный фотограф # E3.0 [8] (🤠..🤧) лицо в ковбойской шляпе .. чихающее лицо 
1F928..1F92F ; Расширенный фотограф # E5.0 [8] (🤨..🤯) лицо с приподнятой бровью .. взрывающаяся голова
1F930 ; Расширенный фотограф # E3.0 [1] (🤰) беременная женщина
1F931..1F932 ; Расширенный фотограф # E5.0 [2] (🤱..🤲) кормление грудью .. ладони вместе
1F933..1F93A ; Расширенный фотограф # E3.0 [8] (🤳..🤺) селфи .. фехтование человека
1F93C ..1F93E ; Расширенный фотограф # E3.0 [3] (🤼..🤾) люди борются .. человек играет в гандбол
1F93F ; Расширенный фотограф # E12.0 [1] (🤿) маска для подводного плавания
1F940..1F945 ; Расширенный фотограф # E3.0 [6] (🥀..🥅) увядший цветок .. сетка ворот 
1F947..1F94B ; расширенный фотограф # E3.0 [5] (🥇..🥋) медаль за 1-е место .. униформа для боевых искусств
1F94C ; Расширенный фотограф # E5.0 [1] (🥌) камень для завивки
1F94D..1F94F ; Расширенный фотограф# E11.0 [3] (🥍..🥏) лакросс..летающий диск
1F950..1F95E ; Расширенный фотограф# E3.0 [15] (🥐..🥞) круассан..блинчики
1F95F..1F96B ; Расширенный фотограф # E5.0 [13] (🥟..🥫) клецки.. консервы
1F96C ..1F970 ; Расширенный фотограф # E11.0 [5] (🥬..🥰) зеленая листва .. улыбающееся лицо с сердечками
1F971 ; Расширенный фотограф # E12.0 [1] (🥱) зевающее лицо 
1F972 ; Расширенный фотограф # E13.0 [1] (🥲) улыбающееся лицо со слезами
1F973..1F976 ; Расширенный фотограф # E11.0 [4] (🥳..🥶) веселящееся лицо .. холодное лицо 
1F977..1F978 ; Расширенный фотограф # E13.0 [2] (🥷..🥸) ниндзя .. замаскированное лицо 
1F979 ; Расширенный фотограф # E14.0 [1] (🥹) лицо, сдерживающее слезы
1F97A ; Расширенный фотограф # E11.0 [1] (🥺) умоляющее лицо 
1F97B ; Расширенный графический# E12.0 [1] (🥻) сари
1F97C..1F97F ; Расширенный фотограф # E11.0 [4] (🥼..🥿) лабораторный халат .. обувь на плоской подошве 
1F980..1F984 ; расширенный фотограф # E1.0 [5] (🦀..🦄) краб..единорог
1F985..1F991 ; Расширенный фотограф # E3.0 [13] (🦅..🦑) орел..кальмар
1F992..1F997 ; Расширенный графический номер E5.0 [6] (🦒..🦗) жираф..сверчок
1F998..1F9A2 ; Расширенный фотограф # E11.0 [11] (🦘..🦢) кенгуру..лебедь
1F9A3..1F9A4 ; Расширенный фотограф # E13.0 [2] (🦣..🦤) мамонт..дронт
1F9A5..1F9AA ; Расширенный фотограф# E12.0 [6] (🦥..🦪) ленивец..устрица
1F9AB..1F9AD ; Расширенный фотограф # E13.0 [3] (🦫..🦭) бобр..тюлень
1F9AE..1F9AF ; Расширенный фотограф # E12.0 [2] (🦮..🦯) собака-поводырь .. белая трость
1F9B0..1F9B9 ; Расширенный фотограф # E11.0 [10] (🦰..🦹) рыжие волосы ..суперзлодей
1F9BA..1F9BF ; Расширенный фотограф # E12.0 [6] (🦺..🦿) жилет безопасности .. механическая нога
1F9C0 ; Расширенный графический # E1.0 [1] (🧀) сырный долька
1F9C1..1F9C2 ; Расширенный графический # E11.0 [2] (🧁..🧂) кекс ..соль
1F9C3..1F9CA ; Расширенный графический # E12.0 [8] (🧃..🧊) коробка для напитков .. лед
1F9CB ; Расширенный фотограф # E13.0 [1] (🧋) чай с пузырьками
1F9CC ; Расширенный графический# E14.0 [1] (🧌) тролль
1F9CD..1F9CF ; Расширенный фотограф # E12.0 [3] (🧍..🧏) стоящий человек ..глухой человек
1F9D0..1F9E6 ; Расширенный фотограф # E5.0 [23] (🧐..🧦) лицо с моноклем.. носки
1F9E7..1F9FF ; Расширенный фотограф# E11.0 [25] (🧧..🧿) красный конверт ..амулет Назара
1FA00..1FA6F ; Расширенный графический# E0.0 [112] (🨀..🩯) НЕЙТРАЛЬНЫЙ ШАХМАТНЫЙ КОРОЛЬ..<зарезервировано-1FA6F>
1FA70..1FA73 ; Расширенный фотограф# E12.0 [4] (🩰..🩳) балетные туфли.. шорты
1FA74 ; Расширенный фотограф # E13.0 [1] (🩴) сандалии-стринги
1FA75..1FA77 ; Расширенный фотограф # E15.0 [3] (🩵..🩷) светло-голубое сердечко..розовое сердечко
1FA78..1FA7A ; Расширенный фотограф # E12.0 [3] (🩸..🩺) капля крови ..стетоскоп
1FA7B..1FA7C ; Расширенный фотограф # E14.0 [2] (🩻..🩼) рентген..костыль
1FA7D..1FA7F ; Расширенный графический# E0.0 [3] (🩽..🩿) < зарезервировано-1FA7D>..<зарезервировано-1FA7F>
1FA80..1FA82 ; Расширенный фотограф # E12.0 [3] (🪀..🪂) йо-йо..парашют
1FA83..1FA86 ; Расширенный фотограф# E13.0 [4] (🪃..🪆) бумеранг..матрешки
1FA87..1FA88 ; Расширенный фотограф# E15.0 [2] (🪇..🪈) маракасы..флейта
1FA89 ; Расширенный графический# E16.0 [1] (🪉) арфа
1FA8A..1FA8E ; Расширенный графический# E0.0 [5] (🪊..🪎) < зарезервировано-1FA8A>..<зарезервировано-1FA8E>
1FA8F ; Extended_Pictographic# E16.0 [1] (🪏) лопата
1FA90..1FA95 ; Расширенный фотограф # E12.0 [6] (🪐..🪕) планета с кольцами ..банджо
1FA96..1FAA8 ; Расширенный фотограф # E13.0 [19] (🪖..🪨) военный шлем .. камень
1FAA9..1FAAC ; Расширенный графический # E14.0 [4] (🪩..🪬) зеркальный шар ..хамса
1FAAD..1FAAF ; Расширенный фотограф # E15.0 [3] (🪭..🪯) складной ручной веер ..khanda
1FAB0..1FAB6 ; Расширенный графический# E13.0 [7] (🪰..🪶) муха..перо
1FAB7..1FABA ; Расширенный фотограф # E14.0 [4] (🪷..🪺) лотос .. гнездо с яйцами
1FABB..1FABD ; Расширенный фотограф # E15.0 [3] (🪻..🪽) гиацинт..крыло
1FABE ; Extended_Pictographic# E16.0 [1] (🪾) безлистное дерево
1FABF ; Расширенный графический# E15.0 [1] (🪿) гусь
1FAC0..1FAC2 ; Расширенный фотограф # E13.0 [3] (🫀..🫂) анатомическое сердце .. люди, обнимающиеся
1FAC3 ..1FAC5 ; Расширенный фотограф # E14.0 [3] (🫃..🫅) беременный мужчина .. человек с короной
1FAC6 ; Расширенный графический# E16.0 [1] (🫆) отпечаток пальца
1FAC7..1FACD ; Расширенный графический# E0.0 [7] (🫇..🫍) < зарезервировано-1FAC7>..<зарезервировано-1FACD>
1FACE..1FACF ; Расширенный графический # E15.0 [2] (🫎..🫏) лось..осел
1FAD0..1FAD6 ; Расширенный графический # E13.0 [7] (🫐..🫖) черника.. чайник
1FAD7..1FAD9 ; Расширенный фотограф # E14.0 [3] (🫗..🫙) заливка liquid..jar
1FADA..1FADB ; Расширенный графический # E15.0 [2] (🫚..🫛) корень имбиря .. стручок гороха
1FADC ; Расширенный графический # E16.0 [1] (🫜) корнеплод
1FADD..1FADE ; Extended_Pictographic# E0.0 [2] (🫝..🫞) < зарезервировано-1FADD>..<зарезервировано-1FADE>
1FADF ; Расширенный графический# E16.0 [1] (🫟) разбрызгивание
1FAE0..1FAE7 ; Расширенный фотограф # E14.0 [8] (🫠..🫧) поверхность плавления .. пузырьки
1FAE8 ; Extended_Pictographic# E15.0 [1] (🫨) дрожащее лицо
1FAE9 ; Расширенный фотограф # E16.0 [1] (🫩) лицо с мешками под глазами
1FAEA..1FAEF ; Расширенный графический# E0.0 [6] (🫪..🫯) < зарезервировано-1FAEA>..<зарезервировано-1FAEF>
1FAF0..1FAF6 ; Расширенный фотограф# E14.0 [7] (🫰..🫶) рука со скрещенными указательным и большим пальцами .. руки в форме сердца
1FAF7..1FAF8 ; Расширенный фотограф # E15.0 [2] (🫷..🫸) рука, толкающая влево .. рука, толкающая вправо
1FAF9..1FAFF ; Расширенный графический# E0.0 [7] (🫹..🫿) < зарезервировано-1FAF9>..<зарезервировано-1FAFF>
1FC00..1FFFD ; Расширенный графический# E0.0[1022] (🰀..🿽) < зарезервировано-1FC00>..<зарезервировано-1FFFD>

# Всего элементов: 3537

#EOF
